"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"GM",0.00366974058075216,0.00330545339485989,0.00250753514561146,0.00218533589621126
1,7,"NW",0.00272754548217488,0.00141935558649079,0.0023769643545041,0.00169754234389189
1,7,"LL",0.00183188295567545,0.00185832507843368,0.0013378914789022,0.001613799422119
1,10,"GM",0.00251602641804944,0.00262502229331819,0.00167146669171755,0.00136798699534709
1,10,"NW",0.00193602082638752,0.000976250682345887,0.00163246137699931,0.00132749697469945
1,10,"LL",0.00141735569512712,0.0015583068759257,0.000878074664913876,0.00107338592726063
1,14,"GM",0.00134660148511489,0.00052260689880985,0.00128705039986646,0.000561710295107137
1,14,"NW",0.00133870916039534,0.000539103665466682,0.0013044137175206,0.000686844765491989
1,14,"LL",0.000742279841805498,0.000683857843024987,0.000590406907514018,0.000582561559267328
2,7,"GM",0.00793722822275047,0.00852170018103961,0.00518036274960137,0.00399112141981433
2,7,"NW",0.00530506934003205,0.00283893974373035,0.00485468221146542,0.00315032957891453
2,7,"LL",0.00408723551070521,0.0037661618417871,0.0030723194544805,0.0033909445254231
2,10,"GM",0.00622175533217558,0.00731062854060092,0.00382693754965991,0.00316483984302341
2,10,"NW",0.00417419899129554,0.00250793747292704,0.00370293843372233,0.00222704640365503
2,10,"LL",0.00230297269787226,0.00225154479223254,0.00171852074446827,0.0016089980366868
2,14,"GM",0.00274108065320705,0.00129219418318208,0.00257033645791353,0.0016948555504892
2,14,"NW",0.00259111043306526,0.00134236384649107,0.00242036666539096,0.00129720216479805
2,14,"LL",0.00129863104935943,0.00150895265786915,0.000814733578872806,0.000809631861337918
3,7,"GM",0.00750673737098063,0.00607067616906096,0.0056646914931245,0.0043241581866026
3,7,"NW",0.00558396035064383,0.00238703759185113,0.00530896460057829,0.00307283003587367
3,7,"LL",0.00441279587838228,0.00250328844350174,0.00390158039118577,0.00269668661792937
3,10,"GM",0.00476043105702863,0.00394277333722061,0.00388017607079439,0.0017448304443628
3,10,"NW",0.0037882166044356,0.00129062897246271,0.00357139475158149,0.00138687679608778
3,10,"LL",0.00271484045954246,0.00129666492066721,0.00251812269936546,0.00136751999056514
3,14,"GM",0.00314712940695249,0.00120133134187311,0.00288606057323626,0.00117562610786321
3,14,"NW",0.00284148752885358,0.00106295393035926,0.00272418272516907,0.00117592341337806
3,14,"LL",0.00205207581937509,0.00121706070862937,0.00174426370614441,0.000910761705392925
4,7,"GM",0.00757253666972159,0.00484243174394294,0.0064338099366436,0.00464077020451799
4,7,"NW",0.00705371768372182,0.00416999341763376,0.0060054268952436,0.00422965346162139
4,7,"LL",0.00484369221511045,0.00517063339460145,0.00306095975076702,0.00395118964805109
4,10,"GM",0.00412904424627345,0.00220765970636582,0.00369518962934474,0.00234452650810045
4,10,"NW",0.00395324452181213,0.0020606043059759,0.00350402103775982,0.00229411792861081
4,10,"LL",0.00269561150920078,0.00258046263818936,0.0018156416832741,0.00196632264321676
4,14,"GM",0.00257109066820964,0.000911331267713784,0.00243877078623926,0.00107591921743694
4,14,"NW",0.0028038729446522,0.00144658151713855,0.00252143402244913,0.00125817118443647
4,14,"LL",0.00154314209156054,0.00142933476119419,0.00110499409202362,0.0011476487267137
5,7,"GM",0.0238405779794506,0.0297051411900686,0.0144365194924736,0.00985262602984748
5,7,"NW",0.0116945468439445,0.00497718970975354,0.0108266987091375,0.00614195471714379
5,7,"LL",0.00732616469549734,0.00491845075875528,0.00569800474735602,0.00484644847072967
5,10,"GM",0.0129715720290908,0.0169047832054552,0.0091169601473845,0.00575549037196953
5,10,"NW",0.00867733275773817,0.0034269669371062,0.00803597000734046,0.00437319552473578
5,10,"LL",0.00548823940820223,0.00422350209021784,0.00442353842713422,0.00337695693375001
5,14,"GM",0.00657099233036656,0.00258839588345899,0.0059230169668358,0.00350757079665945
5,14,"NW",0.00562057146843165,0.00220982117161319,0.00511588083115406,0.0028932035768373
5,14,"LL",0.00314011671496223,0.00176896996757881,0.00299254754391418,0.00180958561104213
6,7,"GM",0.0103026127058453,0.00968151780544605,0.00923131227941118,0.0058337817183122
6,7,"NW",0.00910943966826705,0.0040660993693527,0.00832855294111812,0.0058816759471639
6,7,"LL",0.00530579013387048,0.00598870634818063,0.00371896292574614,0.00372551687773061
6,10,"GM",0.00699188274120377,0.0033881710436932,0.00630905445011652,0.00381061031441914
6,10,"NW",0.00602954395353817,0.00248422099953618,0.00530724214819375,0.00330406021658066
6,10,"LL",0.00276508057641902,0.00200701669577776,0.00214572514186387,0.00219095273526112
6,14,"GM",0.00483210954705418,0.00180783640600923,0.00448023042887174,0.00226364085026318
6,14,"NW",0.00406741707261261,0.00160516937264343,0.00383662567195715,0.0020357176346588
6,14,"LL",0.00206732552898731,0.0015180482992732,0.00172078464705131,0.00124831283702609
